Position,Month,Temp (°C),DO (mg/L),FCH₄ nmol/(m⁻²·s⁻¹),FCO₂ nmol/(m⁻²·s⁻¹),Chl a (μg/L),NO₃-N (mg/L),NO₂-N (mg/L),PO₄-P (mg/L),TN (mg/L),TP (mg/L),DOC (ppm),DIC (ppm)
1,2023-09-01,26.3,3.25,3.74642201178351,124.568531891802,3.27933333333333,0.0566569484936831,0.00965481886534518,0.0285437832607644,0.393074403369209,0.443121995880064,4.681,14.4367
2,2023-09-01,27.9,5.86,124.83811125347,471.403614136238,15.7373333333333,0.0673469387755101,0.0258885850991114,0.0358006773101113,0.318203088441741,0.209658960860609,4.793,13.8005
3,2023-09-01,27.5,6.78,23.321679515811,801.332908163265,16.8293333333333,0.0780369290573374,0.0113636363636364,0.0382196419932269,0.280767430978006,0.314946211947814,4.539,13.9995
4,2023-09-01,30.9,12.03,2.76730654027768,-143.899940094439,15.878,0.0566569484936831,0.0105092276144908,0.0285437832607644,0.233972859148339,0.255436026550698,3.769,9.8721
5,2023-09-01,25.7,3.85,103.233451444824,-138.8959164894,13.3746666666667,0.206316812439261,0.0737354750512645,0.0285437832607644,1.03883949461862,0.397344930189975,2.88,11.9341
6,2023-09-01,28.8,11.81,9.28850862252502,-267.50904832872,31.8346666666667,0.147521865889213,0.0797163362952837,0.0261248185776488,0.898455779129621,0.346990157930877,8.163,11.1167
7,2023-09-01,28.8,9.58,14.86161379604,-195.987531935278,14.786,0.24907677356657,0.0532296650717703,0.0285437832607644,1.00140383715489,0.365300984206912,2.163,13.7297
8,2023-09-01,28.6,11.76,8.36519854420642,-324.383810214227,30.476,0.142176870748299,0.0600649350649351,0.0261248185776488,1.02012166588676,0.346990157930877,3.96,11.1842
9,2023-09-01,29.3,5.93,27.8194595328626,-472.003496740902,2.50333333333333,0.0459669582118563,0.0130724538619275,0.0478955007256894,0.177819372952737,0.360723277637903,3.565,9.2221
10,2023-09-01,29.6,7.5,2.77918927686682,-415.025598678778,4.622,0.0406219630709426,0.0105092276144908,0.0382196419932269,0.383715489003276,0.488899061570153,3.956,8.5071
11,2023-09-01,29.7,6.81,2.77827159838675,-320.427324347272,1.48,0.0352769679300292,0.0113636363636364,0.0430575713594582,0.233972859148339,0.0494392309452964,3.035,9.5184
12,2023-09-01,29.5,3.88,7.41362016473532,-485.592120790163,5.082,0.0726919339164238,0.0156356801093643,0.0406386066763425,0.233972859148339,0.0631723506523232,3.197,8.1574
13,2023-09-02,29.4,6.61,14.8321410864792,-38.9343703520079,25.5886666666667,0.152866861030126,0.0438311688311688,0.0285437832607644,0.598970519419747,,,10.7248
14,2023-09-02,29.1,6.43,22.2702942219071,-32.4775124069479,25.6573333333333,0.115451895043732,0.0446855775803144,0.0285437832607644,0.739354234908751,,,9.3242
