Position,Site,Month,Water depth (m)
1,翠洲围隔1,2022-09,0.75
1,翠洲围隔1,2022-10,0.4
1,翠洲围隔1,2022-11,1.22
1,翠洲围隔1,2023-02,1.08
1,翠洲围隔1,2023-03,1.15
1,翠洲围隔1,2023-04,1.27
1,翠洲围隔1,2023-05,1.07
1,翠洲围隔1,2023-06,0.85
1,翠洲围隔1,2023-07,0.86
1,翠洲围隔1,2023-08,1.1
1,翠洲围隔1,2023-09,0.68
1,翠洲围隔1,2023-10,0.98
1,翠洲围隔1,2023-11,0.95
1,翠洲围隔1,2023-12,0.9
1,翠洲围隔1,2024-01,1.15
2,翠洲围隔2,2022-09,0.75
2,翠洲围隔2,2022-10,0.7
2,翠洲围隔2,2022-11,1.3
2,翠洲围隔2,2023-02,1.2
2,翠洲围隔2,2023-03,1.17
2,翠洲围隔2,2023-04,1.25
2,翠洲围隔2,2023-05,1.0
2,翠洲围隔2,2023-06,0.86
2,翠洲围隔2,2023-07,0.91
2,翠洲围隔2,2023-08,0.92
2,翠洲围隔2,2023-09,0.62
2,翠洲围隔2,2023-10,1.09
2,翠洲围隔2,2023-11,1.0
2,翠洲围隔2,2023-12,0.7
2,翠洲围隔2,2024-01,1.07
3,翠洲围隔3,2022-09,1.0
3,翠洲围隔3,2022-10,0.6
3,翠洲围隔3,2022-11,1.3
3,翠洲围隔3,2023-02,1.24
3,翠洲围隔3,2023-03,1.16
3,翠洲围隔3,2023-04,1.28
3,翠洲围隔3,2023-05,1.12
3,翠洲围隔3,2023-06,0.78
3,翠洲围隔3,2023-07,0.88
3,翠洲围隔3,2023-08,0.9
3,翠洲围隔3,2023-09,0.64
3,翠洲围隔3,2023-10,1.04
3,翠洲围隔3,2023-11,0.98
3,翠洲围隔3,2023-12,0.8
3,翠洲围隔3,2024-01,1.14
4,翠洲围隔4,2022-09,0.89
4,翠洲围隔4,2022-10,0.4
4,翠洲围隔4,2022-11,1.17
4,翠洲围隔4,2023-02,0.95
4,翠洲围隔4,2023-03,0.93
4,翠洲围隔4,2023-04,0.97
4,翠洲围隔4,2023-05,0.82
4,翠洲围隔4,2023-06,0.65
