Day,Mesocosm,Dominance,Label,δ13C-CH4 Conc,δ13C-CO2 Conc,δ13C-DIC,δ13C-DOC,δ13C‰ Zooplankton,δ13C‰ Macrophytes,δ13C‰-16:1ω7cPLFA,δ13C‰-16:1ω5c PLFA,δ13C‰-18:1ω7c PLFA,δ13C‰-18:3n3 PLFA,δ13C‰-18:2ω6 PLFA,δ13C‰-i15:0 PLFA,δ13C‰-a15:0 PLFA,NO₃-N (mg/L),NO₂-N (mg/L),PO₄-P (mg/L),TN (mg/L),TP (mg/L),Temp (°C),DO (mg/L),Chl a (μg/L),DOC (ppm),DIC (ppm)
1,TH1,macrophyte,yes,40.07,-27.25,5.821,-25.636,-5.26664520809509,26.7891723374856,-42.74,-40.54,-33.963,-31.043,-31.242,-29.253,-29.901,0.07,0.01,0.017,0.551,0.047,22.4,5.42,1.63169104,4.922,19.24
1,TH2,macrophyte,yes,49.07,-23.6,12.68,-25.684,5.22500435787901,50.4957480856265,-42.024,-40.096,-32.639,-29.234,-29.262,-28.261,-28.908,0.091,0.007,0.018,0.473,0.045,21.5,6.06,1.07070256,5.631,18.83
1,TH3,macrophyte,yes,57.4,-73.28,8.843,-26.165,5.76641220539161,30.0942786972664,-43.425,-41.063,-35.427,,-32.29,-29.417,-30.077,0.091,0.016,0.011,0.497,0.042,20.7,6.03,0.9547176,5.208,14.77
1,CH1,macrophyte,no,33.1,-27.14,0.9289,-28.092,-17.1394230507858,-24.13,-39.925,-37.246,-35.467,-32.242,-32.909,-28.559,-29.179,0.098,0.003,0.009,0.309,0.036,18.3,6.6,6.77645248,5.064,20.77
1,CH2,macrophyte,no,77.9,-44.84,0.9581,-27.74,-14.4351181509285,-25.57,-39.707,-38.273,-34.841,-34.803,-32.842,-28.17,-29.017,0.107,0.003,0.007,0.45,0.036,18.1,6.98,5.28285024,3.669,15.74
1,URC1,phytoplankton,no,-43.49,-29.6,-1.491,-28.821,13.4333197377122,,-50.283,-52.777,-40.165,,-39.209,-34.215,-35.369,0.226,0.006,0.003,0.387,0.019,18.3,6.03,6.89835504,2.873,17.45
1,URC2,phytoplankton,no,-42.93,-27.88,-1.769,-28.851,-26.8393404254962,,-48.091,-48.324,-37.187,-33.901,-35.302,-32.162,-32.609,0.565,0.007,0.003,0.871,0.035,18.6,5.72,2.20451472,2.073,22.43
1,URC3,phytoplankton,no,-45.24,-31.32,-1.209,-28.326,-24.7459321544845,,-49.406,-49.033,-39.007,,-36.897,-32.845,-33.313,0.309,0.01,0.003,0.574,0.031,18.2,5.67,10.22049568,2.867,23.06
1,URT1,phytoplankton,yes,38.6,-24.31,37.62,-26.55,0.359091818317322,,-49.298,-49.582,-37.916,-34.516,-36.179,-32.068,-32.657,1.03,0.044,0.007,1.453,0.028,19.6,6.1,5.4106704,3.131,29.88
1,URT2,phytoplankton,yes,30.0,-26.84,35.35,-24.875,29.7954284137003,,-49.414,-49.26,-38.884,,-36.766,-32.686,-32.907,0.728,0.035,0.003,1.092,0.026,22.7,5.16,1.07070256,3.637,19.24
