Variable (unit),Field Restored,Field Unrestored,Mesocosm Macrophyte-dominated,Mesocosm Phytoplankton-dominated
DIC (ppm),14.57 (9.93-17.90); n=176,15.70 (12.60-18.13); n=180,16.72 (14.75-18.81); n=30,21.95 (19.37-23.27); n=36
DOC (ppm),3.31 (2.61-4.40); n=176,2.78 (2.18-3.53); n=172,5.16 (4.20-5.65); n=30,3.50 (3.08-3.83); n=36
TN (mg/L),0.46 (0.33-1.10); n=176,1.43 (1.24-1.60); n=180,0.38 (0.32-0.47); n=30,0.64 (0.38-0.96); n=36
Chl a (µg/L),4.46 (2.78-9.11); n=168,16.87 (9.63-30.23); n=172,1.07 (0.62-1.80); n=30,1.76 (1.07-4.27); n=36
Temp (°C),14.10 (8.07-23.15); n=184,13.75 (7.97-22.50); n=180,19.90 (19.05-21.48); n=30,19.65 (18.40-21.25); n=36
DO (mg/L),9.79 (7.50-11.70); n=184,9.25 (6.88-10.60); n=180,6.51 (5.91-7.23); n=30,6.38 (5.71-7.18); n=36
TP (mg/L),0.03 (0.02-0.04); n=176,0.05 (0.04-0.06); n=176,0.03 (0.02-0.04); n=30,0.02 (0.02-0.03); n=36
Water depth (m),0.93 (0.70-1.12); n=100,1.10 (0.90-1.42); n=120,NA,NA
PO4-P (mg/L),0.01 (0.00-0.01); n=176,0.01 (0.00-0.02); n=180,0.01 (0.01-0.01); n=30,0.00 (0.00-0.01); n=36
NO2-N (mg/L),0.01 (0.00-0.02); n=176,0.03 (0.02-0.04); n=176,0.01 (0.00-0.01); n=30,0.01 (0.00-0.03); n=36
NO3-N (mg/L),0.17 (0.05-0.64); n=176,0.85 (0.53-1.16); n=180,0.05 (0.03-0.09); n=30,0.34 (0.11-0.62); n=36
